IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,color
141774.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Canelón,,Carbón,Caldera,Río Bogotá,4.919869822773218,-74.06360501248838,green
141798.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.80476559651936,-74.21355643778917,green
141856.0,Seguimiento y Control,Sabana Centro,Cundinamarca,SOPO,Pueblo Viejo,,Gas,Caldera Horno,Río Bogotá,4.914466140453649,-73.93997679404697,green
142500.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Pajarito,,Carbón,Caldera Horno,Río Bogotá,5.146516959350765,-73.89997285814142,green
142884.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Carbón,Horno,Río Bogotá,4.520138002374677,-74.19645293953957,green
144002.0,Seguimiento y Control,Ubate,Cundinamarca,SIMIJACA,Hato Chico,,Otros,Horno,Río Suárez,5.532379891649153,-73.83440456802114,green
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402,green
144412.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Peñas,,Carbón,Horno,Río Suárez,5.33671022354105,-73.70490190272402,green
145760.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Panamá,,Gas,Horno,Río Bogotá,4.562457250245541,-74.21062594373767,green
146234.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COTA,Vuelta Grande,,Otros,TRITURADOR DE ESCOMBROS,Río Bogotá,4.756314499845698,-74.14058778462476,green
147752.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MADRID,Puente Piedra,,ACPM,Planta de Asfalto,Río Bogotá,4.818670893069072,-74.22727968673412,green
147870.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Carbón,Caldera Horno,Río Machetá,4.9578196312945,-73.70782726554745,green
148522.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chacua,,Gas,HORNO DE SECADO,(sin definir),4.546209487015048,-74.24460931260283,green
150306.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,(sin definir),(sin definir),Río Bogotá,5.125421030494849,-73.90439797153304,green
151254.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,Chusaca,,Gas,CAMPANA DE EXTRACCIÓN  PLOMO 1,Río Bogotá,4.535888872799148,-74.25191919047849,green
151706.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,FUNZA,El Cacique,,Carbón,Caldera,Río Bogotá,4.730851780541538,-74.1913322996901,green
152236.0,Seguimiento y Control,Sabana Centro,Cundinamarca,NEMOCON,Patio Bonito,,Carbón,Horno,Río Bogotá,5.132011888252765,-73.89917418037368,green
153454.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TABIO,Rio Frío Oriental,,Carbón,Horno,Río Bogotá,4.957922845608089,-74.06308125331644,green
153534.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Rincón Santo,,Carbón,Horno,Río Bogotá,5.065794389946128,-73.95486125585315,green
153780.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Tibitó,,Gas,Horno,Río Bogotá,4.968520890391967,-73.96514953656599,green
154266.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Mortiño,,Carbón,Caldera,Río Bogotá,5.044340815540402,-73.93683866225531,green
154302.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,TRITURADORA,Río Bogotá,4.686963005306945,-74.2827445943305,green
154404.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Carbón,Chimenea 1,Río Suárez,5.188262627219513,-73.88146159849582,green
154642.0,Seguimiento y Control,Soacha,Cundinamarca,SOACHA,Fusunga,,Gas,Horno arcillas de Soacha tipo túnel,(sin definir),4.562913081165238,-74.20962458225799,green
155148.0,Seguimiento y Control,Sabana Centro,Cundinamarca,TOCANCIPA,Canavita,,Gas,Horno,Río Bogotá,4.94890310168157,-73.94601077555946,green
155298.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.06757508437556,-73.95086588094019,green
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187104937201386,-73.88082155045036,green
155300.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.187113982906728,-73.88083056744304,green
155530.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.077117471050673,-73.96184828721185,green
156070.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Balsillas,,Otros,Caldera,Río Bogotá,4.67388255865053,-74.26556225033188,green
161770.0,Seguimiento y Control,Ubate,Cundinamarca,TAUSA,Rasgatá,,Coque,Horno,Río Suárez,5.184166157402317,-73.88134560550077,green
164064.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072758477228417,-73.96027087464054,green
164066.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.072757472919745,-73.95485994243853,green
164672.0,Seguimiento y Control,Sabana Centro,Cundinamarca,COGUA,Neusa,,Carbón,Horno,Río Bogotá,5.074149403244205,-73.9512974754703,green
166012.0,Seguimiento y Control,Sabana Centro,Cundinamarca,CAJICA,Chuntame Alto,,Otros,TRITURADOR DE MATERIAL,Río Bogotá,4.906383841408903,-74.01451335072929,green
166542.0,Seguimiento y Control,Soacha,Cundinamarca,SIBATE,La Unión,,Fuel Oil No.8,Horno,(sin definir),4.538263053051745,-74.25716163202722,green
167378.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.517287002502915,-74.14492788758095,green
