IDExpediente,Estado,Regional,Departamento,Municipio,Vereda,Class,TipoCombustible,TipoFuenteEmision,Cuenca,latitude,longitude,color
214656.0,Seguimiento y Control,Alto Magdalena,Cundinamarca,GIRARDOT,URBANO,,Otros,Horno,Río Bogotá,4.326766634580483,-74.80099199260722,green
215160.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.325691944704173,-73.71291977431318,green
215160.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.324652169741913,-73.71315494967774,green
215548.0,Seguimiento y Control,Bogotá y Municipio de la Calera,Distrito Capital,LOCALIDAD DE CIUDAD BOLIVAR,MOCHUELO BAJO,,Carbón,Horno,Río Bogotá,4.532045540756562,-74.14318109269777,green
218040.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Peñas,,Carbón,Horno,Río Suárez,5.375688989508088,-73.68354038302505,green
219702.0,Seguimiento y Control,Magdalena Centro,Cundinamarca,SAN JUAN DE RIOSECO,Centro Poblado Cambao,,ACPM,Caldera,Río Seco - Río Magdalena,4.901375933995789,-74.72910930382439,green
220334.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,Ramada  Flores,,Carbón,Horno,Río Suárez,5.324352711280675,-73.71138688481753,green
221308.0,Seguimiento y Control,Ubate,Cundinamarca,LENGUAZAQUE,La Ramada,,Carbón,Horno,Río Suárez,5.322074072592789,-73.71160475103049,green
223364.0,Seguimiento y Control,Ubate,Cundinamarca,GUACHETA,Rabanal,,Carbón,Horno,Río Suárez,5.342877295476011,-73.70479893802133,green
224442.0,Seguimiento y Control,Sabana Occidente,Cundinamarca,MOSQUERA,Siete Trojes,,Gas,Horno,Río Bogotá,4.718446115323723,-74.23096251271922,green
