station,latitude,longitude,state,variable,avg_value
22,4.809444,-74.1025,ACT,PM2,50.05587109453599
22,4.809444,-74.1025,ACT,RAIN,0.10161845064556434
22,4.809444,-74.1025,ACT,RH,64.18084770512286
22,4.809444,-74.1025,ACT,So2,19.19965225403226
22,4.809444,-74.1025,ACT,Temp,15.762920796751354
22,4.809444,-74.1025,ACT,WDD,146.46086398417327
22,4.809444,-74.1025,ACT,WDS,2.0378118317367764
23,4.594991,-74.204826,ACT,PM10,30.035617680180177
23,4.594991,-74.204826,ACT,PM2,10.965754568981065
23,4.594991,-74.204826,ACT,RAIN,0.04649216077003122
23,4.594991,-74.204826,ACT,Temp,15.291627710718002
23,4.594991,-74.204826,ACT,WDD,189.66606571800207
23,4.594991,-74.204826,ACT,WDS,1.9165206493236213
